order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 1, 1, 41,09:30:00 - 12:30:00,"ผศ. ดร.ภพ จันทร์เจริญสุข,รศ. ดร.ศิริเดช บุญแสง", อาคาร 12 ชั้น, E12-403, 28/41,2026-03-16, 010,09,28,2026-03-16 09,ภพ จันทร์เจริญสุข;ศิริเดช บุญแสง
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 1, 1, 41,09:30:00 - 12:30:00,"ผศ. ดร.ภพ จันทร์เจริญสุข,รศ. ดร.ศิริเดช บุญแสง", อาคาร 12 ชั้น, E12-404, 13/41,2026-03-16, 010,09,13,2026-03-16 09,ภพ จันทร์เจริญสุข;ศิริเดช บุญแสง
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 2, 1, 37,09:30:00 - 12:30:00,รศ. ดร.ชัยยันต์ เจตนาเสน, อาคาร 12 ชั้น, E12-405, 28/37,2026-03-16, 010,09,28,2026-03-16 09,ชัยยันต์ เจตนาเสน
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 2, 1, 37,09:30:00 - 12:30:00,รศ. ดร.ชัยยันต์ เจตนาเสน, อาคาร 12 ชั้น, E12-406, 9/37,2026-03-16, 010,09,9,2026-03-16 09,ชัยยันต์ เจตนาเสน
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 3, 1, 39,09:30:00 - 12:30:00,รศ. ดร.สัณฐิติ อยู่มาก, อาคาร 12 ชั้น, E12-407, 28/39,2026-03-16, 010,09,28,2026-03-16 09,สัณฐิติ อยู่มาก
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 3, 1, 39,09:30:00 - 12:30:00,รศ. ดร.สัณฐิติ อยู่มาก, อาคาร 12 ชั้น, E12-501, 11/39,2026-03-16, 010,09,11,2026-03-16 09,สัณฐิติ อยู่มาก
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 4, 1, 41,09:30:00 - 12:30:00,ดร.วรุตม์ สูอำพัน, อาคาร 12 ชั้น, E12-502, 28/41,2026-03-16, 010,09,28,2026-03-16 09,วรุตม์ สูอำพัน
 5, 01006041 MATHEMATICS FOR ELECTRICAL ENGINEERING AND COMPUTING, 4, 1, 41,09:30:00 - 12:30:00,ดร.วรุตม์ สูอำพัน, อาคาร 12 ชั้น, E12-503, 13/41,2026-03-16, 010,09,13,2026-03-16 09,วรุตม์ สูอำพัน
 6, 01006719 PROBABILITY AND STATISTICS 1, 1, 2, 31,09:30:00 - 12:30:00,รศ. ดร.สิทธิพร พิมพ์สกุล, HM, HM-301, 31/31,2026-03-16, 010,09,31,2026-03-16 09,สิทธิพร พิมพ์สกุล
 6, 01006719 PROBABILITY AND STATISTICS 1, 2, 2, 29,09:30:00 - 12:30:00,รศ. ดร.สิทธิพร พิมพ์สกุล, HM, HM-302, 29/29,2026-03-16, 010,09,29,2026-03-16 09,สิทธิพร พิมพ์สกุล
 6, 01006719 PROBABILITY AND STATISTICS 1, 3, 2, 36,09:30:00 - 12:30:00,รศ. ดร.สิทธิพร พิมพ์สกุล, HM, HM-303, 36/36,2026-03-16, 010,09,36,2026-03-16 09,สิทธิพร พิมพ์สกุล
 7, 01006741 PROBABILITY AND STATISTICS, 91, 1, 49,09:30:00 - 12:30:00,"ดร.พิมพ์ประไพ ไทยเนียม,อาจารย์Divya Sasi Latha", HM, HM-305, 36/49,2026-03-16, 010,09,36,2026-03-16 09,พิมพ์ประไพ ไทยเนียม;Divya Sasi Latha
 7, 01006741 PROBABILITY AND STATISTICS, 91, 1, 49,09:30:00 - 12:30:00,"ดร.พิมพ์ประไพ ไทยเนียม,อาจารย์Divya Sasi Latha", HM, HM-306, 13/49,2026-03-16, 010,09,13,2026-03-16 09,พิมพ์ประไพ ไทยเนียม;Divya Sasi Latha
 8, 01016108 ADVANCED CALCULUS FOR ELECTRICAL ENGINEERING, 5, 1, 44,09:30:00 - 12:30:00,"ผศ. ดร.ตุลยา ลิมปิติ,ผศ. ดร.ณัฐกานต์ พุทธรักษ์", เครื่องกล, ME-401, 35/52,2026-03-16, 010,09,35,2026-03-16 09,ตุลยา ลิมปิติ;ณัฐกานต์ พุทธรักษ์
 8, 01016108 ADVANCED CALCULUS FOR ELECTRICAL ENGINEERING, 5, 1, 44,09:30:00 - 12:30:00,"ผศ. ดร.ตุลยา ลิมปิติ,ผศ. ดร.ณัฐกานต์ พุทธรักษ์", เครื่องกล, ME-408, 17/52,2026-03-16, 010,09,17,2026-03-16 09,ตุลยา ลิมปิติ;ณัฐกานต์ พุทธรักษ์
 8, 01016108 ADVANCED CALCULUS FOR ELECTRICAL ENGINEERING, 6, 1, 32,09:30:00 - 12:30:00,"ผศ. ดร.ตุลยา ลิมปิติ,ผศ. ดร.ณัฐกานต์ พุทธรักษ์", เครื่องกล, ME-303, 35/35,2026-03-16, 010,09,35,2026-03-16 09,ตุลยา ลิมปิติ;ณัฐกานต์ พุทธรักษ์
 9, 01026222 PROBABILITY AND STATISTICS FOR ENGINEERING, 1, 2, 35,09:30:00 - 12:30:00,รศ. ดร.พีรวุฒิ ยุทธโกวิท, อาคาร 12 ชั้น, E12-601, 28/35,2026-03-16, 010,09,28,2026-03-16 09,พีรวุฒิ ยุทธโกวิท
 9, 01026222 PROBABILITY AND STATISTICS FOR ENGINEERING, 1, 2, 35,09:30:00 - 12:30:00,รศ. ดร.พีรวุฒิ ยุทธโกวิท, อาคาร 12 ชั้น, E12-602, 7/35,2026-03-16, 010,09,7,2026-03-16 09,พีรวุฒิ ยุทธโกวิท
 9, 01026222 PROBABILITY AND STATISTICS FOR ENGINEERING, 2, 2, 41,09:30:00 - 12:30:00,ดร.ปุณยวีร์ ฉายศิริ, อาคาร 12 ชั้น, E12-505, 41/41,2026-03-16, 010,09,41,2026-03-16 09,ปุณยวีร์ ฉายศิริ
 9, 01026222 PROBABILITY AND STATISTICS FOR ENGINEERING, 3, 2, 36,09:30:00 - 12:30:00,รศ. ดร.พีรวุฒิ ยุทธโกวิท, อาคาร 12 ชั้น, E12-603, 28/36,2026-03-16, 010,09,28,2026-03-16 09,พีรวุฒิ ยุทธโกวิท
 9, 01026222 PROBABILITY AND STATISTICS FOR ENGINEERING, 3, 2, 36,09:30:00 - 12:30:00,รศ. ดร.พีรวุฒิ ยุทธโกวิท, อาคาร 12 ชั้น, E12-605, 8/36,2026-03-16, 010,09,8,2026-03-16 09,พีรวุฒิ ยุทธโกวิท
